left;top;botton;rigth
0;0;0;332
0;0;0;337
0;5;0;342
0;10;0;347
0;15;0;352
0;20;0;357
0;25;0;362
0;30;0;367
0;35;0;372
0;40;0;377
0;45;0;382
0;50;0;387
0;55;0;392
0;60;0;397
402;65;0;397
407;70;0;397
412;75;0;397
417;80;0;397
422;85;0;397
427;90;0;397
432;95;0;397
437;100;0;397
442;105;0;397
447;110;0;397
452;115;0;397
457;120;0;397
462;125;0;397
467;130;0;397
472;135;0;397
477;140;0;397
482;145;0;397
487;150;0;397
492;155;0;397
497;160;0;397
502;165;0;397
507;170;0;397
512;175;0;397
517;180;0;397
522;185;0;397
527;190;0;397
532;195;0;397
537;200;0;397
542;205;0;397
547;210;0;397
552;215;0;397
557;220;0;397
562;225;0;397
567;230;0;397
572;235;0;397
577;240;0;397
582;245;0;397
587;250;0;397
592;255;0;397
597;260;0;397
602;265;0;397
607;270;0;397
612;275;0;397
617;280;0;397
622;285;0;397
627;290;0;397
632;295;0;397
637;295;0;397
642;295;305;397
647;295;310;397
652;295;315;397
657;295;320;397
662;295;325;397
667;295;330;397
672;295;335;397
677;295;340;397
682;295;345;397
687;295;350;397
692;295;355;397
697;295;360;397
702;295;365;397
707;295;370;397
712;295;375;397
717;295;380;397
722;295;385;397
727;295;390;397
730;295;395;397
725;295;400;397
720;295;405;397
715;295;410;397
710;295;415;397
705;295;420;397
700;295;425;397
695;295;430;397
690;295;435;397
685;295;440;397
680;295;445;397
675;295;450;397
545;295;450;397
540;295;445;397
535;295;440;397
530;295;435;397
525;295;430;397
520;295;425;397
515;295;420;397
510;295;415;397
505;295;410;397
500;295;405;397
495;295;400;397
490;295;395;397
485;295;390;397
480;295;385;397
475;295;380;397
470;295;375;397
465;295;370;397
460;295;365;397
455;295;360;397
450;295;355;397
445;295;350;397
440;295;345;397
435;295;340;397
430;295;335;397
425;295;330;397
420;295;325;397
415;295;320;397
410;295;315;397
405;295;310;397
405;295;305;397
405;295;305;395
405;295;305;390
405;290;305;385
405;285;305;380
405;280;305;375
405;275;305;370
405;270;305;365
405;265;305;360
405;260;305;355
405;255;305;350
405;250;305;345
405;245;305;340
405;240;305;335
405;235;305;330
405;230;305;325
405;225;305;320
405;220;305;315
405;215;305;310
405;210;305;305
405;205;305;300
405;200;305;295
405;195;305;290
405;190;305;285
405;185;305;280
405;180;305;275
405;175;305;270
405;170;305;265
405;165;305;260
405;160;305;255
405;155;305;250
405;150;305;245
405;145;305;240
405;140;305;235
405;135;305;230
405;130;305;225
405;125;305;220
405;120;305;215
405;115;305;210
405;110;305;205
405;105;305;200
405;100;305;195
405;95;305;190
405;90;305;185
405;85;305;180
405;80;305;175
405;75;305;170
405;70;305;165
405;65;305;160
405;60;305;155
405;55;305;150
405;50;305;145
405;45;305;140
405;40;305;135
405;35;305;130
405;30;305;125
405;25;305;120
405;20;305;115
405;15;305;110
405;10;305;105
405;5;305;100
405;0;305;95
405;0;305;90
405;5;305;85
405;10;305;80
405;15;305;75
405;20;305;70
405;25;305;65
405;30;305;60
405;35;305;55
405;40;305;50
405;45;305;45
405;50;305;40
405;55;305;35
405;60;305;30
405;65;305;25
405;70;305;20
405;75;305;15
405;80;305;10
405;85;305;5
405;90;305;0
405;95;305;5
405;100;305;10
405;105;305;15
405;110;305;20
405;115;305;25
405;120;305;30
405;125;305;35
405;130;305;40
405;135;305;45
405;140;305;50
405;145;305;55
405;150;305;60
405;155;305;65
405;160;305;70
405;165;305;75
405;170;305;80
405;175;305;85
405;180;305;90
405;185;305;95
405;190;305;100
405;195;305;105
405;200;305;110
405;205;305;115
405;210;305;120
405;215;305;125
405;220;305;130
405;225;305;135
405;230;305;140
405;235;305;145
405;240;305;150
405;245;305;155
405;250;305;160
405;255;305;165
405;260;305;170
405;265;305;175
405;270;305;180
405;275;305;185
405;280;305;190
405;285;305;195
405;290;305;200
405;295;305;205
405;295;305;210
405;295;305;215
405;295;310;220
405;295;315;225
405;295;320;230
405;295;325;235
405;295;330;240
405;295;335;245
405;295;340;250
405;295;345;255
405;295;350;260
405;295;355;265
405;295;360;270
405;295;365;275
405;295;370;280
405;295;375;285
405;295;380;290
405;295;385;295
405;295;390;300
405;295;395;305
405;295;400;310
405;295;405;315
405;295;410;320
405;295;415;325
405;295;420;330
405;295;425;335
405;295;430;340
405;295;435;345
405;295;440;350
405;295;445;355
405;295;450;360
490;295;450;395
495;295;445;395
500;295;440;395
505;295;435;395
510;295;430;395
515;295;425;395
520;295;420;395
525;295;415;395
530;295;410;395
535;295;405;395
540;295;400;395
545;295;395;395
550;295;390;395
555;295;385;395
560;295;380;395
565;295;375;395
570;295;370;395
575;295;365;395
580;295;360;395
585;295;355;395
590;295;350;395
595;295;345;395
600;295;340;395
605;295;335;395
610;295;330;395
615;295;325;395
620;295;320;395
625;295;315;395
630;295;310;395
635;295;305;395
640;295;305;395
645;295;305;395
650;290;305;395
655;285;305;395
660;280;305;395
665;275;305;395
670;270;305;395
675;265;305;395
680;260;305;395
685;255;305;395
690;250;305;395
695;245;305;395
700;240;305;395
705;235;305;395
710;230;305;395
715;225;305;395
720;220;305;395
725;215;305;395
730;210;305;395
725;205;305;395
720;200;305;395
715;195;305;395
710;190;305;395
705;185;305;395
700;180;305;395
695;175;305;395
690;170;305;395
685;165;305;395
680;160;305;395
675;155;305;395
670;150;305;395
665;145;305;395
660;140;305;395
655;135;305;395
650;130;305;395
645;125;305;395
640;120;305;395
635;115;305;395
630;110;305;395
625;105;305;395
620;100;305;395
615;95;305;395
610;90;305;395
605;85;305;395
600;80;305;395
595;75;305;395
590;70;305;395
585;65;305;395
580;60;305;395
575;55;305;395
570;50;305;395
565;45;305;395
560;40;305;395
555;35;305;395
550;30;305;395
545;25;305;395
540;20;305;395
535;15;305;395
530;10;305;395
525;5;305;395
520;0;305;395
515;0;305;395
510;5;305;395
505;10;305;395
500;15;305;395
495;20;305;395
490;25;305;395
485;30;305;395
480;35;305;395
475;40;305;395
470;45;305;395
465;50;305;395
460;55;305;395
455;60;305;395
450;65;305;395
445;70;305;395
440;75;305;395
435;80;305;395
430;85;305;395
425;90;305;395
420;95;305;395
415;100;305;395
410;105;305;395
405;110;305;395
405;115;305;395
405;120;305;395
405;125;305;390
405;130;305;385
405;135;305;380
405;140;305;375
405;145;305;370
405;150;305;365
405;155;305;360
405;160;305;355
405;165;305;350
405;170;305;345
405;175;305;340
405;180;305;335
405;185;305;330
405;190;305;325
405;195;305;320
405;200;305;315
405;205;305;310
405;215;305;300
405;220;305;295
405;225;305;290
405;230;305;285
405;235;305;280
405;240;305;275
405;245;305;270
405;250;305;265
405;255;305;260
405;260;305;255
405;265;305;250
405;270;305;245
405;275;305;240
405;280;305;235
405;285;305;230
405;290;305;225
405;295;305;220
405;295;310;205
405;295;315;200
405;295;320;195
405;295;325;190
405;295;330;185
405;295;335;180
405;295;340;175
405;295;345;170
405;295;350;165
405;295;355;160
405;295;360;155
405;295;365;150
405;295;370;145
405;295;375;140
405;295;380;135
405;295;385;130
405;295;390;125
405;295;395;120
405;295;400;115
405;295;405;110
405;295;410;105
405;295;415;100
405;295;420;95
405;295;425;90
405;295;430;85
405;295;435;80
405;295;440;75
405;295;445;70
405;295;450;65
405;295;310;395
410;295;315;395
415;295;320;395
420;295;325;395
425;295;330;395
430;295;335;395
435;295;340;395
440;295;345;395
445;295;350;395
450;295;355;395
455;295;360;395
460;295;365;395
465;295;370;395
470;295;375;395
475;295;380;395
480;295;385;395
485;295;390;395
490;295;395;395
495;295;400;395
500;295;405;395
505;295;410;395
510;295;415;395
515;295;420;395
520;295;425;395
525;295;430;395
530;295;435;395
535;295;440;395
540;295;445;395
545;295;450;395
675;295;450;395
680;295;445;395
685;295;440;395
690;295;435;395
695;295;430;395
700;295;425;395
705;295;420;395
710;295;415;395
715;295;410;395
720;295;405;395
725;295;400;395
730;295;395;395
725;295;390;395
720;295;385;395
715;295;380;395
710;295;375;395
705;295;370;395
700;295;365;395
695;295;360;395
690;295;355;395
685;295;350;395
680;295;345;395
675;295;340;395
670;295;335;395
665;295;330;395
660;295;325;395
655;295;320;395
650;295;315;395
645;295;310;395
630;295;305;395
625;290;305;395
620;285;305;395
615;280;305;395
610;275;305;395
605;270;305;395
600;265;305;395
595;260;305;395
590;255;305;395
585;250;305;395
580;245;305;395
575;240;305;395
570;235;305;395
565;230;305;395
560;225;305;395
555;220;305;395
550;215;305;395
545;210;305;395
540;205;305;395
535;200;305;395
530;195;305;395
525;190;305;395
520;185;305;395
515;180;305;395
510;175;305;395
505;170;305;395
500;165;305;395
495;160;305;395
490;155;305;395
485;150;305;395
480;145;305;395
475;140;305;395
470;135;305;395
465;130;305;395
460;125;305;395
455;120;305;395
450;115;305;395
445;110;305;395
440;105;305;395
435;100;305;395
430;95;305;395
420;85;305;395
415;80;305;395
410;75;305;395
405;70;305;395
405;65;305;395
405;60;305;395
405;55;305;390
405;50;305;385
405;45;305;380
405;40;305;375
405;35;305;370
405;30;305;365
405;25;305;360
405;20;305;355
405;15;305;350
405;10;305;345
405;5;305;340
405;0;305;335
405;0;305;330
405;5;305;325
405;10;305;320
405;15;305;315
405;20;305;310
405;25;305;305
405;30;305;300
405;35;305;295
405;40;305;290
405;45;305;285
405;50;305;280
405;55;305;275
405;60;305;270
405;65;305;265
405;70;305;260
405;75;305;255
405;80;305;250
405;85;305;245
405;90;305;240
405;95;305;235
405;100;305;230
405;105;305;225
405;110;305;220
405;115;305;215
405;120;305;210
405;125;305;205
405;130;305;200
405;135;305;195
405;140;305;190
405;145;305;185
405;150;305;180
405;155;305;175
405;160;305;170
405;165;305;165
405;170;305;160
405;175;305;155
405;180;305;150
405;185;305;145
405;190;305;140
405;195;305;135
405;200;305;130
405;205;305;125
405;215;305;115
405;220;305;110
405;225;305;105
405;230;305;100
405;235;305;95
405;240;305;90
405;245;305;85
405;250;305;80
405;255;305;75
405;260;305;70
405;265;305;65
405;270;305;60
405;275;305;55
405;280;305;50
405;285;305;45
405;290;305;40
405;295;305;35
405;295;305;30
405;295;305;25
405;295;310;20
405;295;315;15
405;295;320;10
405;295;325;5
405;295;330;0
405;295;335;5
405;295;340;10
405;295;345;15
405;295;350;20
405;295;355;25
405;295;360;30
405;295;365;35
405;295;370;40
405;295;375;45
405;295;380;50
405;295;385;55
405;295;390;60
405;295;395;65
405;295;400;70
405;295;405;75
405;295;410;80
405;295;415;85
405;295;420;90
405;295;425;95
405;295;430;100
405;295;435;105
405;295;440;110
405;295;445;115
405;295;450;120
405;295;450;250
405;295;445;255
405;295;440;260
405;295;435;265
405;295;430;270
405;295;425;275
405;295;420;280
405;295;415;285
405;295;410;290
405;295;405;295
405;295;400;300
405;295;390;310
405;295;385;315
405;295;380;320
405;295;375;325
405;295;370;330
405;295;365;335
405;295;360;340
405;295;355;345
405;295;350;350
405;295;345;355
405;295;340;360
405;295;335;365
405;295;330;370
405;295;325;375
405;295;320;380
405;295;315;385
405;295;310;390
410;290;305;395
415;285;305;395
420;280;305;395
425;275;305;395
430;270;305;395
435;265;305;395
440;260;305;395
445;255;305;395
