ano_lançamento;titulo_obra;genero;pais_produtor_obra;nacionalidade_obra;data_lançamento;distribuidora;salas_lançamento;maximo_salas_ocupadas;publico_acumulado;renda_acumulada
2009;Fumando Espero;Documentário;Brasil;Brasileiros;24/04/2009;Gávea Filmes;136;7;2596;16555.5
2009;Tony Manero;Ficção;Chile;Estrangeiros;10/04/2009;Imovision;136;8;280;2020.5
2011;Os muppets;Ficção;Estados Unidos;Estrangeiros;02/12/2011;Disney;135;276;245715;1983418.79
2011;Walachai;Documentário;Brasil;Brasileiros;18/11/2011;Ciclorama;135;8;1262;11903.08
2012;O abrigo;Ficção;Estados Unidos;Estrangeiros;01/06/2012;Sony;135;3;437;4044.56
2012;Ataque ao prédio;Ficção;Reino Unido;Estrangeiros;13/01/2012;Sony;135;1;162;1552.2
2017;Piratas do Caribe – A Vingança de Salazar;Ficção;Estados Unidos;Estrangeiros;25/05/2017;Disney;1774;1774;3659613;55008892
2015;Jogos Vorazes: A esperança - O final;Ficção;Estados Unidos;Estrangeiros;19/11/2015;Paris;1710;1710;4417940;63915826.73
2017;Homem-Aranha: De Volta ao Lar;Ficção;Estados Unidos;Estrangeiros;06/07/2017;Sony;1661;1661;6686736;102726271.29
2017;Liga da Justiça;Ficção;Estados Unidos;Estrangeiros;15/11/2017;Warner;1649;1649;8442364;132575577
2016;Capitão América: Guerra civil;Ficção;Estados Unidos;Estrangeiros;28/04/2016;Disney;1635;1635;9617668;143337776
2014;Jogos Vorazes: A Esperança - Parte 1;Ficção;Estados Unidos;Estrangeiros;20/11/2014;Paris;1580;1580;4799018;56410075.31
2017;Cinquenta Tons Mais Escuros;Ficção;Estados Unidos;Estrangeiros;09/02/2017;Universal;1574;1574;4628437;66565077
2017;Thor: Ragnarok;Ficção;Estados Unidos;Estrangeiros;26/10/2017;Disney;1566;1566;6359663;99761710
2017;Velozes e Furiosos 8;Ficção;Estados Unidos;Estrangeiros;13/04/2017;Universal;1544;1544;8505215;133423662
2015;Star Wars: Episódio VII - O despertar da Força;Ficção;Estados Unidos;Estrangeiros;17/12/2015;Disney;1505;1505;6725851;110610409
2016;Esquadrão Suicida;Ficção;Estados Unidos;Estrangeiros;04/08/2016;Warner;1475;1475;7828012;118083705
2017;Star Wars: Os últimos jedi;Ficção;Estados Unidos;Estrangeiros;14/12/2017;Disney;1454;1454;3155131;56501850
2016;Batman vs Superman: A Origem da Justiça;Ficção;Estados Unidos;Estrangeiros;24/03/2016;Warner;1440;1440;8565380;132441028
2016;Animais fantásticos e onde habitam;Ficção;Estados Unidos, Reino Unido;Estrangeiros;17/11/2016;Warner;1439;1439;4344507;66373716
2016;A série Divergente: Convergente;Ficção;Estados Unidos;Estrangeiros;10/03/2016;Paris;1429;1429;2016949;26293035.29
2014;X-Men: Dias de um Futuro Esquecido;Ficção;Estados Unidos;Estrangeiros;22/05/2014;Fox;1419;1419;4923664;64417536
2012;A saga Crepúsculo: Amanhecer – Parte 2 O final ;Ficção;Estados Unidos;Estrangeiros;15/11/2012;Paris;1410;1410;9596296;100816443.89
2017;A Bela e a Fera (2017);Ficção;Estados Unidos;Estrangeiros;16/03/2017;Disney;1399;1399;8308489;130084653
2016;Rogue One: Uma História Star Wars;Ficção;Estados Unidos;Estrangeiros;15/12/2016;Disney;1396;1396;2860307;48240427
2017;Guardiões da Galáxia Vol. 2;Ficção;Estados Unidos;Estrangeiros;27/04/2017;Disney;1392;1392;4207641;67529482
2017;Meu Malvado Favorito 3;Animação;Estados Unidos;Estrangeiros;29/06/2017;Universal;1383;1383;8989024;125923345
2016;Doutor Estranho;Ficção;Estados Unidos;Estrangeiros;03/11/2016;Disney;1357;1357;4797756;74735525
