ANO;MES;DIA;SEXO;PERIODO;CODIGO;DESCRICAO;UNIDADE_MEDIDA;CATEGORIA;PRECO_UNITARIO;QTD_VENDIDAS;VALOR_VENDIDO
2015;3;3;F;MANHÃ;10000-V-13994;CREAM CHEESE ECILA 100G TRADICIONAL;UN;9016040;1.46;5.00;7.30 
2014;5;8;M;MANHÃ;1003-X-02801;CEBOLA MIUDA BURBO KG;KG;91013070;0.93;8.95;8.32 
2013;10;10;M;MANHÃ;1006-J-19160;ACETATO BEIRA ALTA OLEO BANANA 90ML;UN;93935192;1.23;6.00;7.38 
2015;1;14;F;MANHÃ;1007-Q-08886;REQUEIJAO CATUPIRY 200G ERVAS FINAS;UN;9016040;3.16;3.00;9.48 
2014;11;15;F;TARDE;1009-D-17623;CALDO ARISCO 57G COSTELA;UN;11014012;0.53;13.00;6.89 
2013;10;7;M;MANHÃ;1010-G-18387;DOSADOR TAMPA FLIP TOP GRANDE 410;UN;14293;1.12;1.00;1.12 
2014;11;7;F;MANHÃ;1016-Q-21725;RALADOR RET C/POTE;UN;155028;1.79;3.00;5.37 
2014;6;7;F;TARDE;1019-N-06239;OLEO PAIXAO 200ML AMEND ROMANTICA;UN;9994033;8.41;1.00;8.41 
2015;8;1;M;NOITE;1024-Q-02937;JATOBA KG;KG;90180;5.91;0.56;3.31 
2013;3;9;F;NOITE;1024-Q-02937;JATOBA KG;KG;9091121;5.92;1.31;7.76 
2014;7;9;M;TARDE;1027-U-19149;VELA SANTA CRUZ 20G C/8UN;UN;6043;1.41;5.00;7.05 
2013;1;27;M;TARDE;1028-Z-05057;VELA FESTLAR ANIVERSA AZUL N09;UN;6043;0.61;13.00;7.93 
2015;3;3;M;MANHÃ;1030-G-00635;OLEO KING TRADICIONAL 100ML;UN;13910172;1.31;11.00;14.41 
2013;10;20;F;MANHÃ;1034-J-06080;PEDRA HUME (PEDRA) KG;KG;9001052;8.73;1.21;10.56 
2014;8;16;F;NOITE;1034-M-19217;OSSO XISDOG BIO C/NO DUPLO PEQUENO;UN;15114;3.38;2.00;6.76 
2014;4;23;M;MANHÃ;1036-Y-02710;COLEIRA AGROVET COURO FORRADA N2;UN;1001024;4.31;3.00;12.93 
2015;5;19;M;NOITE;1039-P-18802;SOPA MISTA NATURAL LIFE 200G INTEGR;UN;11014012;2.55;4.00;10.20 
2014;9;4;M;TARDE;1042-P-20600;PENEIRA EURO C/CABO IN8362;UN;393237;4.71;1.00;4.71 
2013;8;27;M;TARDE;1042-R-20631;TOALHA BRUTEX ROSTO CHARME;UN;62036;2.72;2.00;5.44 
2015;7;8;M;TARDE;1047-Q-21996;OVOS LABEL ROUGE COCORICO C/6;UN;127040;2.57;1.00;2.57 
2013;12;17;M;TARDE;1050-B-21127;MIX JASMINE 40G SEMENTES/NUTS;UN;918002;1.34;4.00;5.36 
2013;7;26;M;NOITE;1050-B-21127;MIX JASMINE 40G SEMENTES/NUTS;UN;3096012;1.34;2.00;2.68 
2014;8;27;M;TARDE;1050-K-03099;ENDRO SEMENTE KG;KG;990190;7.01;1.99;13.95 
2014;11;1;F;TARDE;1052-K-00133;CHA MATTE LEAO 25 SAQ LARANJA;UN;9003090;2.15;4.00;8.60 
2015;3;13;M;TARDE;1054-D-24501;FORMA PAO AURI N.02;UN;15167;5.47;1.00;5.47 
2015;8;27;M;MANHÃ;1054-V-15279;BISNAGA PLASUTIL 280ML 4652;UN;14293;1.08;6.00;6.48 
2013;10;6;M;MANHÃ;1054-V-19651;PANELA PRATIK FLON 1.2L;UN;15167;8.02;1.00;8.02 
2015;2;15;M;NOITE;1057-I-00955;POTE SANTANA HERM GDE 1.950 ML;UN;14293;1.95;9.00;17.55 
2014;12;6;M;NOITE;1060-A-16876;CABIDE PORTA 5 GANCHOS DSO 16 METAL;UN;94293;3.86;2.00;7.72 
2015;10;20;M;TARDE;1061-D-21656;SABONETEIRA BABY COLOR PLASTICA;UN;94293;0.43;17.00;7.31 
2015;12;3;F;TARDE;1062-A-12176;LMPD PRATICE 500ML 4X1 LMP PES CLOR;UN;22043;1.59;3.00;4.77 
2013;4;9;F;NOITE;1064-M-07021;PUDIM ROYAL 50G NOVO BAUNILHA;UN;12096012;0.85;5.00;4.25 
2015;10;22;M;MANHÃ;1064-P-21028;POTE TRIO QUAD BAIXO 210ML;UN;14293;1.01;2.00;2.02 
2015;8;28;F;MANHÃ;1065-I-23065;BISC. BAUDUCCO 207G CHOC/LEITE;UN;135091;8.31;1.00;8.31 
