CNPJ;NOME;ENDEREÇO;COMPLEMENTO;BAIRRO;MUNICÍPIO;UF;PRODUTO;VALOR VENDA;DATA CADASTRO
00062780000102;AUTO POSTO PARATI;AVENIDA FILINTO MULLER,645;;CENTRO;TRES LAGOAS;MS;Gasolina C Comum;4,436;28/06/2018 17:49
00062780000102;AUTO POSTO PARATI;AVENIDA FILINTO MULLER,645;;CENTRO;TRES LAGOAS;MS;Etanol;3,482;28/06/2018 17:49
00062780000102;AUTO POSTO PARATI;AVENIDA FILINTO MULLER,645;;CENTRO;TRES LAGOAS;MS;Diesel S500;3,644;28/06/2018 17:49
00062780000102;AUTO POSTO PARATI;AVENIDA FILINTO MULLER,645;;CENTRO;TRES LAGOAS;MS;Diesel S10;3,734;28/06/2018 17:49
00300357000195;POSTO E TRANSPORTADORA PEGORARO;RODOVIA BR 163,S/N;KM 786;ZONA RURAL;COXIM;MS;Gasolina C Comum;4,59;05/07/2018 18:55
00300357000195;POSTO E TRANSPORTADORA PEGORARO;RODOVIA BR 163,S/N;KM 786;ZONA RURAL;COXIM;MS;Etanol;3,39;05/07/2018 18:55
00300357000195;POSTO E TRANSPORTADORA PEGORARO;RODOVIA BR 163,S/N;KM 786;ZONA RURAL;COXIM;MS;Diesel S500;3,669;05/07/2018 18:55
00300357000195;POSTO E TRANSPORTADORA PEGORARO;RODOVIA BR 163,S/N;KM 786;ZONA RURAL;COXIM;MS;Diesel S10;3,769;05/07/2018 18:55
00480284000160;POSTO CENTRAL;AVENIDA GUAXENDUBA,200;;CENTRO;SAO LUIS;MA;Gasolina C Comum;4,269;04/10/2018 16:25
00480284000160;POSTO CENTRAL;AVENIDA GUAXENDUBA,200;;CENTRO;SAO LUIS;MA;Diesel S10;3,694;04/10/2018 16:25
00593430000164;AUTO POSTO BRINATI; LINHA MC-06,6190;TERREO;INDUSTRIAL;MACHADINHO D'OESTE;RO;Gasolina C Comum;4,8;04/07/2018 17:51
00593430000164;AUTO POSTO BRINATI; LINHA MC-06,6190;TERREO;INDUSTRIAL;MACHADINHO D'OESTE;RO;Diesel S500;3,78;04/07/2018 17:51
00593430000245;AUTO POSTO BRINATI;LINHA SME 02,S/N;KM 72 - LOTE 01, QUADRA 01 - NÚCLEO SANTA MARIA;ZONA RURAL;MACHADINHO D'OESTE;RO;Gasolina C Comum;4,8;06/08/2018 18:01
